source_sample,split,sample_id
YOU_26_y0768_x0512,test,smoke_r2_YOU_26_y0768_x0512
YOU_26_y1280_x0512,test,smoke_r2_YOU_26_y1280_x0512
YOU_29_y0512_x1024,test,smoke_r2_YOU_29_y0512_x1024
YOU_26_y0000_x1024,train,smoke_r2_YOU_26_y0000_x1024_rep01
YOU_26_y0000_x1024,train,smoke_r2_YOU_26_y0000_x1024_rep02
YOU_26_y0000_x1024,train,smoke_r2_YOU_26_y0000_x1024_rep03
YOU_26_y0256_x0000,train,smoke_r2_YOU_26_y0256_x0000_rep01
YOU_26_y0256_x0000,train,smoke_r2_YOU_26_y0256_x0000_rep02
YOU_26_y0256_x0000,train,smoke_r2_YOU_26_y0256_x0000_rep03
YOU_26_y0256_x1536,train,smoke_r2_YOU_26_y0256_x1536_rep01
YOU_26_y0256_x1536,train,smoke_r2_YOU_26_y0256_x1536_rep02
YOU_26_y0256_x1536,train,smoke_r2_YOU_26_y0256_x1536_rep03
YOU_26_y1024_x0256,train,smoke_r2_YOU_26_y1024_x0256_rep01
YOU_26_y1024_x0256,train,smoke_r2_YOU_26_y1024_x0256_rep02
YOU_26_y1024_x0256,train,smoke_r2_YOU_26_y1024_x0256_rep03
YOU_26_y1024_x1024,train,smoke_r2_YOU_26_y1024_x1024_rep01
YOU_26_y1024_x1024,train,smoke_r2_YOU_26_y1024_x1024_rep02
YOU_26_y1024_x1024,train,smoke_r2_YOU_26_y1024_x1024_rep03
YOU_26_y1024_x1792,train,smoke_r2_YOU_26_y1024_x1792_rep01
YOU_26_y1024_x1792,train,smoke_r2_YOU_26_y1024_x1792_rep02
YOU_26_y1024_x1792,train,smoke_r2_YOU_26_y1024_x1792_rep03
YOU_27_y0512_x1024,train,smoke_r2_YOU_27_y0512_x1024_rep01
YOU_27_y0512_x1024,train,smoke_r2_YOU_27_y0512_x1024_rep02
YOU_27_y0512_x1024,train,smoke_r2_YOU_27_y0512_x1024_rep03
YOU_27_y0512_x1280,train,smoke_r2_YOU_27_y0512_x1280_rep01
YOU_27_y0512_x1280,train,smoke_r2_YOU_27_y0512_x1280_rep02
YOU_27_y0512_x1280,train,smoke_r2_YOU_27_y0512_x1280_rep03
YOU_27_y0512_x1792,train,smoke_r2_YOU_27_y0512_x1792_rep01
YOU_27_y0512_x1792,train,smoke_r2_YOU_27_y0512_x1792_rep02
YOU_27_y0512_x1792,train,smoke_r2_YOU_27_y0512_x1792_rep03
YOU_27_y0768_x0512,train,smoke_r2_YOU_27_y0768_x0512_rep01
YOU_27_y0768_x0512,train,smoke_r2_YOU_27_y0768_x0512_rep02
YOU_27_y0768_x0512,train,smoke_r2_YOU_27_y0768_x0512_rep03
YOU_27_y1024_x1792,train,smoke_r2_YOU_27_y1024_x1792_rep01
YOU_27_y1024_x1792,train,smoke_r2_YOU_27_y1024_x1792_rep02
YOU_27_y1024_x1792,train,smoke_r2_YOU_27_y1024_x1792_rep03
YOU_27_y1536_x1792,train,smoke_r2_YOU_27_y1536_x1792_rep01
YOU_27_y1536_x1792,train,smoke_r2_YOU_27_y1536_x1792_rep02
YOU_27_y1536_x1792,train,smoke_r2_YOU_27_y1536_x1792_rep03
YOU_27_y1792_x2048,train,smoke_r2_YOU_27_y1792_x2048_rep01
YOU_27_y1792_x2048,train,smoke_r2_YOU_27_y1792_x2048_rep02
YOU_27_y1792_x2048,train,smoke_r2_YOU_27_y1792_x2048_rep03
YOU_28_y0000_x1280,train,smoke_r2_YOU_28_y0000_x1280_rep01
YOU_28_y0000_x1280,train,smoke_r2_YOU_28_y0000_x1280_rep02
YOU_28_y0000_x1280,train,smoke_r2_YOU_28_y0000_x1280_rep03
YOU_29_y0768_x0512,train,smoke_r2_YOU_29_y0768_x0512_rep01
YOU_29_y0768_x0512,train,smoke_r2_YOU_29_y0768_x0512_rep02
YOU_29_y0768_x0512,train,smoke_r2_YOU_29_y0768_x0512_rep03
YOU_29_y1536_x0000,train,smoke_r2_YOU_29_y1536_x0000_rep01
YOU_29_y1536_x0000,train,smoke_r2_YOU_29_y1536_x0000_rep02
YOU_29_y1536_x0000,train,smoke_r2_YOU_29_y1536_x0000_rep03
YOU_31_y0512_x0768,train,smoke_r2_YOU_31_y0512_x0768_rep01
YOU_31_y0512_x0768,train,smoke_r2_YOU_31_y0512_x0768_rep02
YOU_31_y0512_x0768,train,smoke_r2_YOU_31_y0512_x0768_rep03
YOU_33_y2048_x1024,train,smoke_r2_YOU_33_y2048_x1024_rep01
YOU_33_y2048_x1024,train,smoke_r2_YOU_33_y2048_x1024_rep02
YOU_33_y2048_x1024,train,smoke_r2_YOU_33_y2048_x1024_rep03
YOU_26_y1024_x1280,val,smoke_r2_YOU_26_y1024_x1280
YOU_26_y1792_x1792,val,smoke_r2_YOU_26_y1792_x1792
YOU_27_y1024_x0512,val,smoke_r2_YOU_27_y1024_x0512
YOU_29_y0768_x0768,val,smoke_r2_YOU_29_y0768_x0768
