checkpoint_label,checkpoint,split,n_samples,mean_precision,mean_recall,mean_dice
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,all,25,0.826375,0.771488,0.789529
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,train,18,0.811262,0.753557,0.771351
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,val,4,0.866349,0.778335,0.816101
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,test,3,0.863758,0.869941,0.863167
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,all,25,0.900709,0.937947,0.916834
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,train,18,0.928575,0.943638,0.935770
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,val,4,0.872038,0.895969,0.880705
round2_best,runs\unet_finetune_smoke_256_round2\best.pt,test,3,0.771736,0.959775,0.851392
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,all,25,0.877276,0.906040,0.887657
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,train,18,0.883604,0.897972,0.887480
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,val,4,0.894768,0.900639,0.895535
round2_epoch_005,runs\unet_finetune_smoke_256_round2\epoch_005.pt,test,3,0.815988,0.961655,0.878219
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,all,25,0.892155,0.911383,0.898655
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,train,18,0.908709,0.909090,0.907325
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,val,4,0.890237,0.886852,0.885306
round2_epoch_010,runs\unet_finetune_smoke_256_round2\epoch_010.pt,test,3,0.795387,0.957845,0.864431
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,all,25,0.895876,0.923833,0.907083
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,train,18,0.917026,0.925307,0.920236
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,val,4,0.882886,0.891173,0.883674
round2_epoch_015,runs\unet_finetune_smoke_256_round2\epoch_015.pt,test,3,0.786300,0.958538,0.859375
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,all,25,0.895665,0.931913,0.911147
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,train,18,0.921687,0.934776,0.927722
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,val,4,0.871135,0.898422,0.881561
round2_epoch_020,runs\unet_finetune_smoke_256_round2\epoch_020.pt,test,3,0.772238,0.959393,0.851150
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,all,25,0.905924,0.930929,0.916072
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,train,18,0.932264,0.935669,0.933593
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,val,4,0.878383,0.891282,0.881471
round2_epoch_025,runs\unet_finetune_smoke_256_round2\epoch_025.pt,test,3,0.784603,0.955351,0.857080
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,all,25,0.907487,0.934599,0.918786
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,train,18,0.934786,0.940797,0.937528
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,val,4,0.878843,0.890889,0.881566
round2_epoch_030,runs\unet_finetune_smoke_256_round2\epoch_030.pt,test,3,0.781884,0.955688,0.855957
