checkpoint_label,checkpoint,sample,split,precision,recall,dice
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_26_y0000_x1024,train,0.938936,0.752686,0.835558
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_26_y0256_x0000,train,0.786235,0.881125,0.830980
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_26_y0256_x1536,train,0.875134,0.773285,0.821063
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_26_y0768_x0512,test,0.735709,0.881074,0.801857
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_26_y1024_x0256,train,0.769546,0.777341,0.773424
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_26_y1024_x1024,train,0.938806,0.621629,0.747983
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_26_y1024_x1280,val,0.748171,0.748171,0.748171
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_26_y1024_x1792,train,0.883337,0.778163,0.827421
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_26_y1280_x0512,test,0.894120,0.771579,0.828342
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_26_y1792_x1792,val,0.890931,0.773415,0.828024
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_27_y0512_x1024,train,0.935962,0.707325,0.805738
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_27_y0512_x1280,train,0.840307,0.756632,0.796278
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_27_y0512_x1792,train,0.682160,0.867680,0.763817
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_27_y0768_x0512,train,0.691120,0.698309,0.694696
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_27_y1024_x0512,val,0.902162,0.648659,0.754691
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_27_y1024_x1792,train,0.657994,0.774061,0.711324
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_27_y1536_x1792,train,0.777049,0.784403,0.780708
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_27_y1792_x2048,train,0.652365,0.820117,0.726686
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_28_y0000_x1280,train,0.845821,0.631120,0.722865
previous_unified,dist\needle-select-inference-unified-20260606\models\needle_unet_unified.pt,YOU_29_y0512_x1024,test,0.961445,0.957172,0.959304
